Category,LIFE,Exo
"['Hot Rocky', 'F']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Hot Rocky', 'G']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Hot Rocky', 'K']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Hot Rocky', 'M']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Warm Rocky', 'F']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Warm Rocky', 'G']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Warm Rocky', 'K']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Warm Rocky', 'M']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Cold Rocky', 'F']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Cold Rocky', 'G']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Cold Rocky', 'K']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Cold Rocky', 'M']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Hot SE', 'F']","[81.1615826093442, 46.76679634138738, 8.2, 3.06, 82]","[0.37610630784002375, nan, 0.1, 0.3, 1]"
"['Hot SE', 'G']","[82.53091807951094, 66.33835546496921, 9.9, 2.74, 99]","[261.45124985968266, 735.0550965129311, 0.8, 0.75, 8]"
"['Hot SE', 'K']","[74.53476270236945, 52.76819479627214, 25.6, 6.76, 256]","[2.65306256830627, 4.160680476911622, 1.0, 0.89, 10]"
"['Hot SE', 'M']","[48.550355605744606, 61.905609288018965, 27.0, 4.69, 270]","[0, 0, 0.0, 0.0, 0]"
"['Warm SE', 'F']","[127.40099372770324, 65.2587587043558, 1.1, 1.04, 11]","[0.741220163461312, 0.38001930066262113, 0.4, 0.66, 4]"
"['Warm SE', 'G']","[84.67396137645927, 61.9930286870125, 2.6, 1.36, 26]","[345.1646733925124, 964.0380195829076, 3.1, 1.51, 31]"
"['Warm SE', 'K']","[71.55669009467475, 53.256542673315515, 6.9, 3.11, 69]","[363.84782184521276, 1153.3889746366797, 2.9, 1.45, 29]"
"['Warm SE', 'M']","[63.42818838360396, 75.01194051978601, 9.9, 2.34, 99]","[0, 0, 0.0, 0.0, 0]"
"['Cold SE', 'F']","[0, 0, 0.0, 0.0, 0]","[26.353059691482844, 27.44011160001215, 0.3, 0.46, 3]"
"['Cold SE', 'G']","[33.26319221327726, nan, 0.1, 0.3, 1]","[353.3575113950721, 1039.4783535298293, 2.4, 1.56, 24]"
"['Cold SE', 'K']","[37.930293594001284, 28.034618124077788, 0.3, 0.46, 3]","[176.0733866747093, 990.5099956596923, 7.3, 2.28, 73]"
"['Cold SE', 'M']","[78.40714605145709, 34.846042396872676, 1.1, 0.83, 11]","[64.00132698534452, 28.460252056529537, 2.3, 1.55, 23]"
"['Hot Sub-Neptune', 'F']","[84.64294131722944, 53.181841711591304, 7.2, 3.25, 72]","[0.7256764162055709, 0.4827823339005246, 0.2, 0.4, 2]"
"['Hot Sub-Neptune', 'G']","[81.5797490886278, 62.283872483391114, 11.1, 3.36, 111]","[2.9809091276635744, 7.423331425787536, 1.0, 1.1, 10]"
"['Hot Sub-Neptune', 'K']","[60.50889851582864, 43.740806513546985, 23.0, 4.88, 230]","[3.1847835325117373, 1.5760414828376983, 0.2, 0.4, 2]"
