,Name,Spec,parx,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,dist,BV,MV,BC,L,coords,pmra,pmdec,rv,Binary_Cut,MsEst,MsTrue,int_comp
0,HIP 57,K2V,33.478406427854026,0.0,9.120000000000001,8.24,0.0,0.0,6.773,6.341,6.23,29.87,0.88,5.863823886979358,-2.37,0.46,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (0.168286, -69.67580414, 29.87)>",-41.0,-67.6,0.0,False,0.8943597045999226,0.8921929721000076,0.02164157763351505
1,HIP 169 A,K5V,65.23157208088713,0.0,10.65,9.24,0.0,0.0,6.736,6.113,,15.33,1.41,8.312289225728124,-0.9299999999999997,0.08,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (0.53502101, -68.28020477, 15.33)>",207.4,-231.8,0.0,False,0.6294899937295243,0.5880255858540797,0.022961707040138526
2,HIP 171,G3V,82.16926869350861,0.0,6.49,5.8,0.0,0.0,4.702,4.179,3.9399999999999995,12.17,0.69,5.3735471088496745,-0.4299999999999997,0.7,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (0.54018801, 27.08448982, 12.17)>",778.6,-918.7,0.0,True,0.9673683210726176,0.949900485789789,0.2640725708261545
3,HIP 400,G9V,37.8931413414172,0.0,8.58,7.81,0.0,0.0,6.398,6.027,5.93,26.39,0.77,5.702803048899751,-2.1099999999999994,0.52,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (1.23365998, 23.2696476, 26.39)>",382.1,-7.5,0.0,False,0.9174337995355019,0.8793848958425375,0.046349341687401596
4,HIP 428,M2V,88.88888888888889,0.0,11.42,9.95,0.0,0.0,6.704,6.098,5.85,11.25,1.47,9.694237387763094,-0.2599999999999998,0.04,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (1.29233599, 45.7869339, 11.25)>",869.7,-151.1,0.0,False,0.5319896231025886,0.4960906032353559,0.02008878032062464
5,HIP 436,K5V,62.93266205160477,0.0,9.57,8.49,0.0,0.0,6.44,5.885,5.710000000000001,15.89,1.08,7.484380513963102,-1.0099999999999998,0.15,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (1.324453, -67.83123016, 15.89)>",-117.2,-560.8,0.0,False,0.7035046714556811,0.7179145847544232,0.04995383290667331
6,HIP 439,M2V,230.4147465437788,0.0,10.02,8.56,0.0,0.0,5.328,4.828,4.5200000000000005,4.34,1.46,10.372551352437448,1.8099999999999987,0.02,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (1.33455598, -37.35168076, 4.34)>",5634.1,-2337.9,0.0,False,0.4936988776454417,0.5102550632025205,0.2149746029400247
7,HIP 473 A,K2V,88.41732979664012,0.0,10.24,8.83,0.0,0.0,6.1,6.816,,11.31,1.41,8.562686975372722,-0.2699999999999996,0.09,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (1.41782296, 45.81245422, 11.31)>",878.7,-153.9,0.0,False,0.6096076742884454,0.5998511584495038,0.07612928566065305
8,HIP 518 A,G5V,46.554934823091244,0.0,6.67,5.98,0.0,0.0,4.871,4.42,4.33,21.48,0.69,4.319828614862411,-1.6600000000000001,1.73,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (1.564744, 58.43669128, 21.48)>",247.4,17.8,0.0,True,1.15566686353145,1.0982784503661138,0.16976495787591728
9,HIP 522,F7V,38.89537145079735,0.0,6.220000000000001,5.7,0.0,0.0,4.69,4.646,,25.71,0.52,3.6494896167856967,-2.0500000000000003,3.0,"<SkyCoord (ICRS): (ra, dec, distance) in (deg, deg, pc)
    (1.57776296, -49.07509232, 25.71)>",575.2,-39.9,0.0,False,1.3025937000573173,1.321583828772225,0.1352044339854016
