Category,LIFE,Exo
"['Hot Rocky', 'F']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Hot Rocky', 'G']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Hot Rocky', 'K']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Hot Rocky', 'M']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Warm Rocky', 'F']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Warm Rocky', 'G']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Warm Rocky', 'K']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Warm Rocky', 'M']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Cold Rocky', 'F']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Cold Rocky', 'G']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Cold Rocky', 'K']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Cold Rocky', 'M']","[0, 0, 0.0, 0.0, 0]","[0, 0, 0.0, 0.0, 0]"
"['Hot SE', 'F']","[81.1615826093442, 46.76679634138738, 8.2, 3.06, 82]","[0.6664843455638656, 0.07941462334816994, 0.2, 0.6, 2]"
"['Hot SE', 'G']","[82.53091807951094, 66.33835546496921, 9.9, 2.74, 99]","[2.7961403698846685, 6.407968375542187, 1.2, 0.6, 12]"
"['Hot SE', 'K']","[74.53476270236945, 52.76819479627214, 25.6, 6.76, 256]","[13.167956235013326, 19.818687574877444, 0.9, 1.14, 9]"
"['Hot SE', 'M']","[48.550355605744606, 61.905609288018965, 27.0, 4.69, 270]","[0, 0, 0.0, 0.0, 0]"
"['Warm SE', 'F']","[127.40099372770324, 65.2587587043558, 1.1, 1.04, 11]","[0.39293598183148637, nan, 0.1, 0.3, 1]"
"['Warm SE', 'G']","[84.67396137645927, 61.9930286870125, 2.6, 1.36, 26]","[443.3505935255221, 1279.0532776728703, 3.5, 2.2, 35]"
"['Warm SE', 'K']","[71.55669009467475, 53.256542673315515, 6.9, 3.11, 69]","[374.7232666167238, 1326.5183998905682, 2.2, 1.25, 22]"
"['Warm SE', 'M']","[63.42818838360396, 75.01194051978601, 9.9, 2.34, 99]","[26.40755586538623, 7.801505542977961, 0.2, 0.4, 2]"
"['Cold SE', 'F']","[0, 0, 0.0, 0.0, 0]","[27.878212453984748, 30.1781946836186, 0.4, 0.8, 4]"
"['Cold SE', 'G']","[33.26319221327726, nan, 0.1, 0.3, 1]","[41.35068411744262, 112.97661125215606, 3.1, 1.45, 31]"
"['Cold SE', 'K']","[37.930293594001284, 28.034618124077788, 0.3, 0.46, 3]","[481.89303678155886, 1828.0705687250836, 6.2, 2.52, 62]"
"['Cold SE', 'M']","[78.40714605145709, 34.846042396872676, 1.1, 0.83, 11]","[57.54504133098813, 25.562814509628865, 1.0, 0.89, 10]"
"['Hot Sub-Neptune', 'F']","[84.64294131722944, 53.181841711591304, 7.2, 3.25, 72]","[0.47553953657202314, 0.5404683156215542, 0.3, 0.64, 3]"
"['Hot Sub-Neptune', 'G']","[81.5797490886278, 62.283872483391114, 11.1, 3.36, 111]","[0.5538730692850317, 0.7040382015904334, 0.9, 0.54, 9]"
